;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;;2;;;
ID;;Use Case;;Section;;Sub-Section;;Item;;;;;Quantifiable impact;;;;;Non quantifiable impact;;Zone 1 (USA);Zone 1 (USA);Zone 2;Zone 2;Zone 3;Zone 3;Zone 4;Zone 4;Zone 5;Zone 5;Zone 6;Zone 6;Zone 7;Zone 7;Zone 8;Zone 8;Zone 9;Zone 9;Zone 10;Zone 10;Filtering Area;;;;
#;Item ID;Use Case Name;Use Case Venue;ID;Name;ID;Name;Item #;Benefits Item;Reference Unit;Comments;Impact min on Baseline Units Consumption (+/- %);Impact max on Baseline Units Consumption (+/- %);Impact min on Baseline $ Cost / Unit (+/- %);Impact max on Baseline $ Cost / Unit (+/- %);Impact min on existing revenues (%);Impact max on existing revenues (%);Impact (rating 1-10);Probability (0-100%);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);Baseline Cost per Unit (Monthly);Price per Unit (Monthly, ($);UC;Use Case Name;UC Venue;Customer;Benefits Category
1;Occupancy and Notification-Parks-7.4-Item #1;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #1;Revenues from selling real time data to third parties;# of Giga Bites of data sold to third parties per month;O&N-Parks-I.1.1;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;$3;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
2;Occupancy and Notification-Parks-7.4-Item #2;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #2;Tax revenues from additional spent by additional clients;# of additional clients each month;O&N-Parks-I.1.2;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;$7;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
3;Occupancy and Notification-Parks-7.4-Item #3;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #3;Revenues generated by businesses from non local park visitors;# of additional non-local visitors in the park each month;O&N-Parks-I.1.3;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;$34;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
4;Occupancy and Notification-Parks-7.4-Item #4;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #4;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
5;Occupancy and Notification-Parks-7.4-Item #5;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #5;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
6;Occupancy and Notification-Parks-7.4-Item #6;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #6;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
7;Occupancy and Notification-Parks-7.4-Item #7;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #7;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
8;Occupancy and Notification-Parks-7.4-Item #8;Occupancy and Notification;Parks;7.;O&N - Parks - Customer;7.4;O&N - Parks - Customer - UC Revenues (New);Item #8;;;;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;NA#;;O&N;Occupancy and Notification;Parks;Customer;UC Revenues (New)
